D.O. 2 ;18 - TPO2;D.O. 3 ;D.O. 4 ;D.O. 5 ;D.O. 6 ;D.O. 7 ;D.O. 8 ;19 - TPVA;D.O. 9 ;37 - Densidade ÃÂ³tica;D.O. 10 ;32 - Retirada de aluminio;D.O. 11 ;74 - AdesÃÂ£o ao metal, 160ÃÂ°C;66 - Densidade ÃÂ³tica (X-RITE);75 - AdesÃÂ£o ao metal, 100ÃÂ°C;Situação;Dt ProduÃ§Ã£o;Hora Final;Pinholes P;Pinholes M;Pinholes G;ArranhÃÂ£o ;Desvio PadrÃÂ£o D.O. ;Media D.O.;D.O. 1 ;ID;DateTime;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;DepositEndTime;Time;DepositStartTime;TotalTime;WarmupTime;CoatingTime;FilmInSpec;ChillDown;PumpdownTime;VentingTime;CycleStartTime;FilmProcessed;FilmMetallised;MechOpenTime;Length;Boatlife;FirstProbe;LastProbe;Weight;WebThickness;WebWidth;TargetNumber;UpperLimit;LowerLimit;WebSpeed;WireSpeed;UnwSetTension;RewSetTension;Source ID;Selected (2);Bobina ;Campanha;Hora Inicio;Maquina;Origem;Selected;Selected.1;Fingerprint;RollID;Shift;Operator;Customer;BarCode;Selected (1);Selected (3)
;;;;;;;;;;;;;;;;;Aprovado;03/01/2020 00:00;22/05/2020 09:14;;;;;;;;;03/01/2020 07:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2020 07:48;22/05/2020 07:48;03/01/2020 06:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/01/2020 00:00;22/05/2020 09:14;;;;;;;;;03/01/2020 10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2020 10:04;22/05/2020 10:04;03/01/2020 08:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 15:54;;;;;;;;;04/01/2020 15:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 15:07;22/05/2020 15:07;04/01/2020 13:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 22:44;;;;;;;;;04/01/2020 21:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 21:20;22/05/2020 21:20;04/01/2020 19:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 01:21;;;;;;;;;04/01/2020 02:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 02:21;22/05/2020 02:21;04/01/2020 00:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 04:24;;;;;;;;;04/01/2020 05:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 05:38;22/05/2020 05:38;04/01/2020 03:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/01/2020 00:00;22/05/2020 07:13;;;;;;;;;05/01/2020 06:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 05:54;22/05/2020 05:54;05/01/2020 04:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/01/2020 00:00;22/05/2020 10:05;;;;;;;;;05/01/2020 09:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 08:57;22/05/2020 08:57;05/01/2020 07:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 16:30;;;;;;;;;05/01/2020 15:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 15:30;22/05/2020 15:30;05/01/2020 14:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 16:30;;;;;;;;;05/01/2020 17:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 17:41;22/05/2020 17:41;05/01/2020 16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 19:02;;;;;;;;;05/01/2020 17:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 17:41;22/05/2020 17:41;05/01/2020 16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 19:02;;;;;;;;;05/01/2020 20:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 20:09;22/05/2020 20:09;05/01/2020 18:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
